uid,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,cd,council,ct2010,ct2020,nta2010,nta2020,facgroup,facsubgrp,factype,capacity,captype,optype,opname,opabbrev,overlevel,overagency,overabbrev,datasource,facdomain,schooldist,policeprct,servarea,geometry
000d687da861e4489d08e446a99b5e62,POLICE ATHLETIC LEAGUE INC,3005,FREDERICK DOUGLASS BOULEVARD,3005 FREDERICK DOUGLASS BOULEVARD,NEW YORK,MANHATTAN,1,10039,40.83192258,-73.93687918,1001717.558,242375.4016,1088672,1021060003,110,9,24302,24302,MN03,MN1002,YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,YOUTH RECREATIONAL SERVICES/YOUTH ATHLETIC LEAGUES,0,,,POLICE ATHLETIC LEAGUE INC,,City,NYC Mayor's Office of Criminal Justice,NYCMOCJ,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",5,32,Local,POINT(1001717.5575413704 242375.4015750885)
001c4ba76ffa6f279bc6aa53f2ca8c98,POLICE ATHLETIC LEAGUE INC,500,WEST 138 STREET,500 WEST 138 STREET,NEW YORK,MANHATTAN,1,10031,40.82099275,-73.95306919,997239.3956,238390.4511,1084132,1019880166,109,7,22301,22301,MN06,MN0902,YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,YOUTH RECREATIONAL SERVICES/YOUTH ATHLETIC LEAGUES,0,,,POLICE ATHLETIC LEAGUE INC,,City,NYC Mayor's Office of Criminal Justice,NYCMOCJ,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",6,30,Local,POINT(997239.3955907822 238390.45114564896)
0025957e4f4ec22fea0ab2e456ef9a21,CAMBA INC,21,SNYDER AVENUE,21 SNYDER AVENUE,BROOKLYN,BROOKLYN,3,11226,40.64901789,-73.95764672,996002.7321,175733.9387,3117220,3051030008,314,40,79400,79400,BK95,BK1701,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","SYEP AND WORK, LEARN & GROW (WLG)",0,,,CAMBA INC,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",17,70,Local,POINT(996002.7321009636 175733.93869495392)
002dbff28913a333eccec060f70b8b72,"GLOBAL KIDS, INC",137,EAST 25 STREET,137 EAST 25 STREET,NEW YORK,MANHATTAN,1,10010,40.74086615,-73.98315488,988917.9667,209194.5834,1018106,1008810029,106,2,6800,6800,MN21,MN0602,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",COMMUNITY SERVICES,0,,,"Global Kids, Inc.",,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",2,13,Local,POINT(988917.966665268 209194.58342933655)
0033d7e6df76c103c20b0ac7113e3c34,FRIENDS OF VETERANS NEW YORK INC,45-11,31 AVENUE,45-11 31 AVENUE,ASTORIA,QUEENS,4,11103,40.7595668,-73.91237799,1008524.192,216019.5245,4012664,4007140001,401,22,15100,15100,QN70,QN0104,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",CITY COUNCIL AWARDS,0,,,FRIENDS OF VETERANS NEW YORK INC,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",30,114,Local,POINT(1008524.1923904419 216019.52445030212)
00389e4606b69e85d8b7e60ab02e89da,PAKISTANI AMERICAN SKILLED WOMEN ORGANIZATION,1117,CONEY ISLAND AVENUE,1117 CONEY ISLAND AVENUE,BROOKLYN,BROOKLYN,3,11230,40.6304008,-73.96587678,993721.5916,168950.2317,3178901,3066860060,314,45,52800,52800,BK42,BK1402,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",COMMUNITY SERVICES,0,,,PAKISTANI AMERICAN SKILLED WOMEN ORGANIZATION INC,,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",22,70,Local,POINT(993721.5915675163 168950.23170995712)
0044b7fdf6fecd0c88d9fda284544c6f,JHS 291 ROLAND HAYES - 32K291,231,PALMETTO STREET,231 PALMETTO STREET,BROOKLYN,BROOKLYN,3,11221,40.6956605,-73.91542829,1007701.637,192735.6495,3076460,3033430001,304,37,43300,43300,BK77,BK0402,YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,AFTERSCHOOL PROGRAMS; COMMUNITY SERVICES; EDUCATIONAL SERVICES; FAMILY SUPPORT,0,,,Coalition for Hispanic Family Services,,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",32,83,Local,POINT(1007701.6367998123 192735.6494898796)
005c6f1bb14510b2a25148bed81651fe,BRONXDALE HIGH SCHOOL (11X508),925,ASTOR AVENUE,925 ASTOR AVENUE,BRONX,BRONX,2,10469,40.86038098,-73.86030158,1022892.491,252768.3897,2050179,2043580001,211,13,32400,32400,BX07,BX1104,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",EDUCATIONAL SERVICES; JOBS AND INTERNSHIPS,0,,,HANAC INC,,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",11,49,Local,POINT(1022892.4913592339 252768.38964748383)
005d04e4ba93d2a8d51e4a120efd60ef,STATEN ISLAND YOUTH SOCCER LEAGUE INC,1757,ARTHUR KILL ROAD,1757 ARTHUR KILL ROAD,STATEN ISLAND,STATEN ISLAND,5,10312,40.55970442,-74.19732123,929421.5147,143253.6502,5112496,5059650040,503,51,22800,22801,SI05,SI0391,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",CITY COUNCIL AWARDS,0,,,STATEN ISLAND YOUTH SOCCER LEAGUE INC,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",31,123,Local,POINT(929421.514737606 143253.65016031265)
0061207d19a4e48ebb6070eee345ff67,JEWISH INSTITUTE OF QUEENS,60-05,WOODHAVEN BOULEVARD,60-05 WOODHAVEN BOULEVARD,ELMHURST,QUEENS,4,11373,40.73121355,-73.87095681,1020014.437,205703.7291,4072178,4030880001,406,30,68700,68700,QN18,QN0601,YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,SCHOOL'S OUT NEW YORK CITY (SONYC),0,,,JEWISH INSTITUTE OF QUEENS,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",28,112,Local,POINT(1020014.436627388 205703.72908353806)
0066bfc3efa3205ae4420f8cb010ee3d,SOUTHEAST BRONX NEIGHBORHOOD CENTERS INC,751,EAST 161 STREET,751 EAST 161 STREET,BRONX,BRONX,2,10456,40.82175092,-73.90456245,1010664.668,238677.5873,2091958,2026380090,203,17,13300,13300,BX35,BX0301,YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,SCHOOL'S OUT NEW YORK CITY (SONYC),0,,,SOUTHEAST BRONX NEIGHBORHOOD CENTERS INC,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",8,42,Local,POINT(1010664.6682043076 238677.58724927902)
006823a2426bba3fb7faed62a1f98a86,MUSLIM COMMUNITY NETWORK,345,BROOK AVENUE,345 BROOK AVENUE,BRONX,BRONX,2,10454,40.81020759,-73.91844954,1006824.996,234468.059,2000391,2022860036,201,8,4100,4100,BX39,BX0101,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",CITY COUNCIL AWARDS,0,,,MUSLIM COMMUNITY NETWORK,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",7,40,Local,POINT(1006824.9962005615 234468.05896902084)
006f709a11487279321587771a7071a0,EVERYONE READING INC,1220,FIFTH AVENUE,1220 FIFTH AVENUE,NEW YORK,MANHATTAN,1,10029,40.7924858,-73.95187372,997575.9828,228004.5429,1074157,1016090001,111,8,16800,16800,MN33,MN1101,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",CITY COUNCIL AWARDS,0,,,EVERYONE READING INC,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",4,23,Local,POINT(997575.9827589989 228004.54289102554)
0088795f3775ccfbc5bc8d810c8b18eb,UNITED STATES WALLBALL ASSOCIATION INC,62,TARGEE STREET,62 TARGEE STREET,STATEN ISLAND,STATEN ISLAND,5,10304,40.62570624,-74.08361561,961039.1601,167249.1107,5014148,5005440118,501,49,2100,2100,SI37,SI0102,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",CITY COUNCIL AWARDS,0,,,UNITED STATES WALLBALL ASSOCIATION INC,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",31,120,Local,POINT(961039.160091877 167249.11070394516)
0094a31783acbc2e35c02ef3733c594c,WOMENS HOUSING & ECONOMIC DEVELOPMENT CORP,1220,GERARD AVENUE,1220 GERARD AVENUE,BRONX,BRONX,2,10452,40.8356215,-73.91971034,1006467.492,243726.9421,2097130,2024800008,204,16,19700,19700,BX63,BX0401,YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,SCHOOL'S OUT NEW YORK CITY (SONYC),0,,,WOMENS HOUSING & ECONOMIC DEVELOPMENT CORP,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",9,44,Local,POINT(1006467.4921822548 243726.94215917587)
00a3126e150a320961233378187e3f29,ITALIAN AMERICAN CIVIL RIGHTS LEAGUE CANARSIE INC,1400,PENNSYLVANIA AVENUE,1400 PENNSYLVANIA AVENUE,BROOKLYN,BROOKLYN,3,11239,40.64675325,-73.88184452,1017038.407,174928.1418,3098294,3044520025,305,42,105804,105804,BK93,BK0504,YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,COMPASS ELEMENTARY,0,,,ITALIAN AMERICAN CIVIL RIGHTS LEAGUE CANARSIE INC,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",19,75,Local,POINT(1017038.4067568779 174928.14177322388)
00b00304949bef03e4fa9909a6e29933,THE HUDSON GUILD,441,WEST 26 STREET,441 WEST 26 STREET,NEW YORK,MANHATTAN,1,10001,40.74963782,-74.00144379,983849.9617,212389.9368,1012827,1007240010,104,3,9700,9700,MN13,MN0401,YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,COMPASS ELEMENTARY,0,,,THE HUDSON GUILD,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",2,10,Local,POINT(983849.9617376328 212389.93678474426)
00b27a72956336661df81c9ba649b681,EAST SIDE HOUSE INC,650,ACADEMY STREET,650 ACADEMY STREET,NEW YORK,MANHATTAN,1,10034,40.8656312,-73.92511326,1004963.065,254659.2879,1076776,1022330020,112,10,29100,29100,MN01,MN1203,YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,EDUCATIONAL SUPPORT: HIGH SCHOOL YOUTH,0,,,EAST SIDE HOUSE INC,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",6,34,Local,POINT(1004963.0648007393 254659.2878947258)
00cf8832270c657e17bcba3c3a506214,IS 93,66-56,FOREST AVENUE,66-56 FOREST AVENUE,RIDGEWOOD,QUEENS,4,11385,40.70560401,-73.90306411,1011126.198,196361.9194,4083511,4034900001,405,30,58900,58900,QN20,QN0502,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",COMMUNITY SERVICES,0,,,"The Greater Ridgewood Youth Council, Inc.",,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",24,104,Local,POINT(1011126.1982021332 196361.91943120956)
00d964af353253ec6155190694707e0d,STATEN ISLAND CHILDREN'S MUSEUM,100,RICHMOND TERRACE,100 RICHMOND TERRACE,STATEN ISLAND,STATEN ISLAND,5,10301,40.64504253,-74.07780174,962659.2877,174292.3548,5000090,5000090022,501,49,700,700,SI22,SI0101,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",COMMUNITY SERVICES,0,,,Staten Island Children's Museum,,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",31,120,Local,POINT(962659.2877421379 174292.35479831696)
00dc7b42b6ee1c4a7914e20419530cf0,SOUTH RICHMOND HIGH SCHOOL IS / PS 25 (75R025),6581,HYLAN BOULEVARD,6581 HYLAN BOULEVARD,STATEN ISLAND,STATEN ISLAND,5,10309,40.51200547,-74.21840571,923519.5774,125889.7525,0,5076640001,503,51,19800,19800,SI01,SI0304,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",COMMUNITY SERVICES,0,,,Billion Oyster Project Inc.,,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",31,123,Local,POINT(923519.5774450302 125889.75254297256)
00f806e838d3e093a6f456eda83e295f,CITIZEN SCHOOLS INC,850,KENT AVENUE,850 KENT AVENUE,BROOKLYN,BROOKLYN,3,11205,40.69539696,-73.95999261,995344.048,192630.8472,3054671,3018970013,303,33,123700,123700,BK75,BK0301,YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,SCHOOL'S OUT NEW YORK CITY (SONYC),0,,,CITIZEN SCHOOLS INC,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",14,79,Local,POINT(995344.0480165482 192630.8471531868)
0113e266bac2935072e3e4118eb99ab7,I.S. 61 WILLIAM A MORRIS,445,CASTLETON AVENUE,445 CASTLETON AVENUE,STATEN ISLAND,STATEN ISLAND,5,10301,40.63458326,-74.09779867,957105.7002,170487.321,5002227,5001000100,501,49,6700,6700,SI35,SI0104,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",AFTERSCHOOL PROGRAMS; COMMUNITY SERVICES; EDUCATIONAL SERVICES,0,,,The Children's Aid Society,,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",31,120,Local,POINT(957105.7001781464 170487.3209757805)
011f5f2d9483e4b2c57c8722f55b92ad,KINGSBRIDGE HEIGHTS COMMUNITY CENTER INC,2780,RESERVOIR AVENUE,2780 RESERVOIR AVENUE,BRONX,BRONX,2,10468,40.87022499,-73.89707006,1012717.618,256340.8594,2015241,2032470070,207,11,40900,40900,BX28,BX0702,YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,SCHOOL'S OUT NEW YORK CITY (SONYC),0,,,KINGSBRIDGE HEIGHTS COMMUNITY CENTER INC,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",10,52,Local,POINT(1012717.6184811592 256340.85935497284)
01328370791d3aa5f21a3354748d4416,NEW YORK EDGE INC,1619,BOSTON ROAD,1619 BOSTON ROAD,BRONX,BRONX,2,10460,40.83630389,-73.89064604,1014509.754,243984.2696,2009867,2029390093,203,15,15500,15500,BX75,BX0303,YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,SCHOOL'S OUT NEW YORK CITY (SONYC),0,,,NEW YORK EDGE INC,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",12,42,Local,POINT(1014509.7537417412 243984.26958608627)
0134b6cd48ed49464de48a029ffd1120,THE YOUNG WOMENS CHRISTIAN ASSOCIATION OF QUEENS,42-07,PARSONS BOULEVARD,42-07 PARSONS BOULEVARD,FLUSHING,QUEENS,4,11355,40.75804493,-73.81879337,1034451.342,215504.8394,4583346,4053750006,407,20,86100,86100,QN52,QN0705,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",EDUCATIONAL SERVICES,0,,,The Young Womens Christian Association of Queens,,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",25,109,Local,POINT(1034451.3423423767 215504.83936023712)
014453b76714561ee2c7d3bce4b3308c,RIDGEWOOD PROPERTY OWNERS AND CIVIC ASSOCIATION INC,58-41,69 AVENUE,58-41 69 AVENUE,RIDGEWOOD,QUEENS,4,11385,40.70181064,-73.90118926,1011647.574,194980.4599,4083143,4034740027,405,30,55100,55100,QN20,QN0502,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",CITY COUNCIL AWARDS,0,,,RIDGEWOOD PROPERTY OWNERS AND CIVIC ASSOCIATION INC,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",24,104,Local,POINT(1011647.5742139816 194980.45989370346)
01505f1cbb876a030eb00a8c5ce68841,PS 154 JONATHAN D. HYATT (07X154),333,EAST 135 STREET,333 EAST 135 STREET,BRONX,BRONX,2,10454,40.80825915,-73.9257776,1004797.025,233756.3692,2097030,2022980001,201,8,2300,2300,BX39,BX0101,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",AFTERSCHOOL PROGRAMS; COMMUNITY SERVICES; EDUCATIONAL SERVICES,0,,,South Bronx Overall Economic Development Corporation,,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",7,40,Local,POINT(1004797.024638176 233756.36917495728)
0156ffffb082114f5c4a9c2dc65e41e9,JACOB A. RIIS NEIGHBORHOOD SETTLEMENT,25-Oct,41 AVENUE,10-25 41 AVENUE,LONG ISLAND CITY,QUEENS,4,11101,40.75558536,-73.94451969,999620.7993,214561.6814,4433386,4004700100,401,26,2500,2500,QN68,QN0105,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",,0,,,Jacob A. Riis Neighborhood Settlement,,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",30,114,Local,POINT(999620.7992787361 214561.681453228)
0168da9949ab44352818bf93bb76b953,SAMUEL FIELD YM & YWHA INC,189-10,RADNOR ROAD,189-10 RADNOR ROAD,HOLLIS,QUEENS,4,11423,40.72444646,-73.77696452,1046070.719,203290.6261,4156558,4072770001,408,23,127700,127700,QN06,QN0804,YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,COMPASS ELEMENTARY,0,,,SAMUEL FIELD YM & YWHA INC,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",26,107,Local,POINT(1046070.7194414139 203290.6261320114)
01998c6e21114b9e3db413d338129121,"WESTHAB, INC.",1535,STORY AVENUE,1535 STORY AVENUE,BRONX,BRONX,2,10473,40.8221305,-73.8770966,1018266.315,238825.3559,2097341,2036520001,209,18,2800,2800,BX09,BX0901,YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,COMPASS ELEMENTARY,0,,,"Westhab, Inc.",,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",8,43,Local,POINT(1018266.3152761459 238825.35586500168)
019b398c13566b01b1163cc4742e8022,MASBIA,1276,47 STREET,1276 47 STREET,BROOKLYN,BROOKLYN,3,11219,40.63618149,-73.99124165,986680.8477,171054.5697,3137209,3056280035,312,44,22200,22200,BK88,BK1202,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",COMMUNITY SERVICES,0,,,Masbia,,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",15,66,Local,POINT(986680.8477220535 171054.5697236061)
01c102cd44cc3dd943e209a3c012867b,PHIPPS NEIGHBORHOODS INC,1001,JENNINGS STREET,1001 JENNINGS STREET,BRONX,BRONX,2,10460,40.83137098,-73.88660084,1015631.443,242188.4515,2010916,2030080001,203,17,15700,15700,BX75,BX0303,YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,SCHOOL'S OUT NEW YORK CITY (SONYC),0,,,PHIPPS NEIGHBORHOODS INC,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",12,42,Local,POINT(1015631.4433326721 242188.45154190063)
01c62bab42d5658022d9c47bdea89b9b,MASPETH TOWN HALL INC.,53-37,72 STREET,53-37 72 STREET,MASPETH,QUEENS,4,11378,40.73036557,-73.89214144,1014143.482,205386.8444,4058706,4025060015,405,30,49700,49700,QN30,QN0501,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",COMMUNITY SERVICES,0,,,"Maspeth Town Hall, Inc.",,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",24,104,Local,POINT(1014143.4818902016 205386.84437942505)
01cb7aba0ae00c837b4865452570c109,A BETTER JAMAICA INC,187-01,FOCH BOULEVARD,187-01 FOCH BOULEVARD,SAINT ALBANS,QUEENS,4,11412,40.69124126,-73.76388181,1049729.569,191202.5208,4268900,4124390032,412,27,36600,36600,QN08,QN1205,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",CITY COUNCIL AWARDS,0,,,A BETTER JAMAICA INC,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",29,113,Local,POINT(1049729.5686364174 191202.52077245712)
02042645201401b126fa8398dbab70af,ST. NICKS ALLIANCE CORP.,790,BROADWAY,790 BROADWAY,BROOKLYN,BROOKLYN,3,11206,40.69968769,-73.94076515,1000674.763,194197.1096,3042818,3015780014,303,36,28501,28501,BK78,BK0302,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",OPPORTUNITY YOUTH: SUPPORTED WORK EXPERIENCE,0,,,ST. NICKS ALLIANCE CORP.,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",14,81,Local,POINT(1000674.7632718086 194197.10958623886)
020b3d9f8e8c000dd358eb51beef1902,KEREN ZICHRON YISROEL MEIER INC,1210,43 STREET,1210 43 STREET,BROOKLYN,BROOKLYN,3,11219,40.63947604,-73.99065562,986843.3692,172254.8811,3136136,3056040010,312,44,22400,22400,BK88,BK1202,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",CITY COUNCIL AWARDS,0,,,KEREN ZICHRON YISROEL MEIER INC,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",15,66,Local,POINT(986843.3691749573 172254.88113832474)
02266e18c567d815fa099ccf9bbb7702,PLAY STUDY WIN INC.,790,EAST NEW YORK AVENUE,790 EAST NEW YORK AVENUE,BROOKLYN,BROOKLYN,3,11203,40.66206795,-73.93644097,1001883.727,180491.9964,3107129,3048060001,309,41,87600,87600,BK60,BK0902,YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,SCHOOL'S OUT NEW YORK CITY (SONYC),0,,,PLAY STUDY WIN INC.,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",17,71,Local,POINT(1001883.7269091606 180491.996363163)
025996a52f19dba0a5470cafbe3b26bf,CONG CHASDEI LEV,1573,39 STREET,1573 39 STREET,BROOKLYN,BROOKLYN,3,11218,40.63693221,-73.97976137,989867.0925,171328.603,3125863,3053660044,312,39,22800,22800,BK88,BK1202,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",COMMUNITY SERVICES,0,,,Cong Chasdei Lev,,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",20,66,Local,POINT(989867.09253788 171328.602997303)
026399c4a2eeb0ef8a55aae29b769b5f,THE DOOR-A CENTER OF ALTERNATIVES INC,121,AVENUE OF THE AMERICAS,121 AVENUE OF THE AMERICAS,NEW YORK,MANHATTAN,1,10013,40.72412049,-74.00514301,982824.4583,203093.2072,1083493,1004777501,102,1,3700,3700,MN24,MN0201,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",SYEP CAREERREADY,0,,,THE DOOR-A CENTER OF ALTERNATIVES INC,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",2,1,Local,POINT(982824.4582576752 203093.20717334747)
0272253e1d76cdaf85b06d2884f2004c,WORKFORCE 2000,31,WASHINGTON PLACE,31 WASHINGTON PLACE,NEW YORK,MANHATTAN,1,10003,40.73034272,-73.99560126,985469.1298,205360.1464,1008820,1005470001,102,2,5900,5900,MN23,MN0202,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",COMMUNITY SERVICES,0,,,1199 SEIU Employer Child Care Corporation,,City,NYC Department of Youth and Community Development,NYCDYCD,dycd_service_sites,"EDUCATION, CHILD WELFARE, AND YOUTH",2,6,Local,POINT(985469.1298151016 205360.14643669128)
0276f679ea32af0c3cf96cf50b4b198f,DREAMYARD PROJECT INC,1085,WASHINGTON AVENUE,1085 WASHINGTON AVENUE,BRONX,BRONX,2,10456,40.82819741,-73.90908889,1009409.431,241024.9452,2115806,2023870032,203,16,18500,18501,BX35,BX0301,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",CITY COUNCIL AWARDS,0,,,DREAMYARD PROJECT INC,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",9,42,Local,POINT(1009409.4312019348 241024.9451971054)
028c7492b87abd9b58f551fa0782c325,SUMMER SEARCH,90,BROAD STREET,90 BROAD STREET,NEW YORK,MANHATTAN,1,10004,40.70380302,-74.01196171,980933.4354,195691.1189,1000025,1000100016,101,1,900,900,MN25,MN0101,YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",CITY COUNCIL AWARDS,0,,,SUMMER SEARCH,,City,NYC Department of Youth and Community Development,NYCDYCD,moeo_socialservicesitelocations,"EDUCATION, CHILD WELFARE, AND YOUTH",2,1,Local,POINT(980933.4354081154 195691.11894369125)
